customer_id,total_spent,num_orders,avg_order_value,num_products,country,city,recency
ALFKI,4273.000009529293,6,356.08333412744105,11,Germany,Berlin,28
ANATR,1402.949990272522,4,140.2949990272522,10,Mexico,México D.F.,64
ANTON,7023.977433340102,7,413.17514313765304,15,Mexico,México D.F.,99
AROUT,13390.649973928183,13,446.3549991309394,24,UK,London,27
BERGS,24927.577430965976,18,479.376489057038,37,Sweden,Luleå,64
BLAUS,3239.799991607666,7,231.4142851148333,12,Germany,Mannheim,8
BLONP,18534.080079345105,11,712.8492338209655,25,France,Strasbourg,115
BOLID,4232.850018620491,3,705.4750031034151,6,Spain,Madrid,44
BONAP,21963.252461684533,17,499.1648286746485,34,France,Marseille,1
BOTTM,20801.59995229095,14,594.3314272083129,27,Canada,Tsawassen,13
BSBEV,6089.899990081787,10,276.8136359128085,19,UK,London,23
CACTU,1814.7999839782715,6,164.98181672529742,11,Argentina,Buenos Aires,9
CENTC,100.79999923706055,1,50.39999961853027,2,Mexico,México D.F.,658
CHOPS,12348.880053406656,8,561.3127297003025,17,Switzerland,Bern,15
COMMI,3810.749990463257,5,381.0749990463257,9,Brazil,Sao Paulo,15
CONSH,1719.099988937378,3,245.58571270533972,7,UK,London,104
DRACD,3763.209972381592,6,376.3209972381592,9,Germany,Aachen,3
DUMON,1615.8999881744385,4,179.54444313049316,9,France,Nantes,80
EASTC,14761.034930229187,8,702.9064252490089,19,UK,London,9
ERNSH,104874.97814367746,30,1028.186060232132,56,Austria,Graz,2
FAMIA,4107.5499232776465,7,216.18683806724457,17,Brazil,Sao Paulo,188
FOLIG,11666.900089263916,5,729.1812555789948,15,France,Lille,136
FOLKO,29567.562490026652,19,657.0569442228145,30,Sweden,Bräcke,10
FRANK,26656.559403990017,15,555.3449875831253,33,Germany,München,28
FRANR,3172.1600036621094,3,528.6933339436849,6,France,Nantes,44
FRANS,1545.6999979019165,6,154.56999979019164,10,Italy,Torino,7
FURIB,6427.422501099259,8,321.37112505496293,16,Portugal,Lisboa,49
GALED,836.6999950408936,5,104.5874993801117,8,Spain,Barcelona,63
GODOS,11446.359954776764,10,440.2446136452602,21,Spain,Sevilla,16
GOURL,8414.134980559349,9,442.84920950312363,17,Brazil,Campinas,13
GREAL,18507.44997092657,11,841.2477259512077,20,USA,Eugene,7
GROSR,1488.6999969482422,2,372.17499923706055,4,Venezuela,Caracas,140
HANAR,32841.369948457475,14,1026.292810889296,23,Brazil,Rio de Janeiro,10
HILAA,22768.76392572349,18,505.97253168274426,33,Venezuela,San Cristóbal,9
HUNGC,3063.2000246047974,5,340.35555828942194,8,USA,Elgin,241
HUNGO,49979.90508149549,19,908.7255469362816,36,Ireland,Cork,7
ISLAT,6146.299984931946,10,267.2304341274759,19,UK,Cowes,62
KOENE,30908.38387253842,14,792.5226633984211,29,Germany,Brandenburg,21
LACOR,1992.0500106811523,4,181.0954555164684,11,France,Versailles,44
LAMAI,9328.200014907121,14,300.9096779002297,26,France,Toulouse,10
LAUGB,522.4999923706055,3,65.31249904632568,8,Canada,Vancouver,126
LAZYK,356.99999809265137,2,178.49999904632568,2,USA,Walla Walla,350
